country,years,population,migration_count,migration_count_change,migration_percent,migration_percent_change
Afghanistan,2000 - 2004,21286110.2,53533.8,189629.75,0.16998022861920262,1.0244751336157425
Albania,2000 - 2004,3053353.0,-59447.2,2306.75,-1.9463365219097777,0.06564774437502274
Algeria,2000 - 2004,31633274.2,-31799.6,-4906.75,-0.10010659883357487,-0.014269231419187902
American Samoa,2000 - 2004,58059.6,-1518.4,-135.75,-2.6161990575576164,-0.2407817393377427
Andorra,2000 - 2004,71121.2,2198.4,649.5,3.046764657835027,0.8364631017518026
Angola,2000 - 2004,17549451.0,59402.8,3264.5,0.33816017607568466,0.007054496079945176
Antigua and Barbuda,2000 - 2004,77096.2,122.4,-42.5,0.16035595270844982,-0.05828122390219135
Argentina,2000 - 2004,37876651.0,-22582.8,108.5,-0.05964244521933406,0.000915178384362625
Armenia,2000 - 2004,3111308.0,-38438.2,5312.5,-1.2325164605493604,0.1595646845855038
Aruba,2000 - 2004,91562.8,556.8,-230.0,0.6142313000583838,-0.2623282916845258
Australia,2000 - 2004,19490434.4,108860.2,-37.25,0.5588031641204634,-0.006703312827738401
Austria,2000 - 2004,8085841.0,38608.6,9344.0,0.4765470314804993,0.11326837046465366
Azerbaijan,2000 - 2004,8174470.0,14779.8,-612.5,0.180978068442202,-0.00891078908057555
"Bahamas, The",2000 - 2004,334044.2,750.4,47.0,0.22390800961299667,0.010282918593335598
Bahrain,2000 - 2004,760346.0,19555.0,11790.0,2.450815176074662,1.3823774007640863
Bangladesh,2000 - 2004,134059313.6,-458606.8,-27614.25,-0.34123200414792026,-0.014213807545047424
Barbados,2000 - 2004,266498.6,-272.2,168.5,-0.10247866992464791,0.06388255945218152
Belarus,2000 - 2004,9860120.4,-12556.8,-631.0,-0.12743534612550741,-0.007154177322325549
Belgium,2000 - 2004,10333575.0,38338.2,2933.0,0.37078202343348077,0.026862097191705653
Belize,2000 - 2004,256123.8,2019.2,163.0,0.7860246644349115,0.0395572038274598
Benin,2000 - 2004,7439121.8,3817.2,209.0,0.051225507034135045,0.0012935820177765998
Bermuda,2000 - 2004,62862.8,-132.0,-31.0,-0.20944361097865363,-0.0478246171348983
Bhutan,2000 - 2004,618821.4,5951.6,-118.5,0.963695823386686,-0.04318889406812055
Bolivia,2000 - 2004,8902596.0,-16227.2,625.5,-0.18262503354178117,0.010266577576905274
Bosnia and Herzegovina,2000 - 2004,4179861.8,-18308.4,-19043.25,-0.44066933926203805,-0.45923541191143513
Botswana,2000 - 2004,1793998.6,5973.6,-803.0,0.3350836533031285,-0.05139139366287468
Brazil,2000 - 2004,180382721.4,-2917.6,-907.25,-0.00158103990638326,-0.00047915274072595024
British Virgin Islands,2000 - 2004,21349.2,507.6,67.5,2.3626274382640475,0.25056225347760214
Brunei Darussalam,2000 - 2004,347328.6,1477.4,-99.25,0.42674623489372576,-0.0366828702993408
Bulgaria,2000 - 2004,7901732.4,-6947.0,1784.75,-0.08725162438052114,0.021097670362627077
Burkina Faso,2000 - 2004,12648297.8,12708.4,3423.25,0.0990894339497842,0.02451034286556065
Burundi,2000 - 2004,6680733.6,7356.2,21801.0,0.09216579445777122,0.3243218377477939
Cabo Verde,2000 - 2004,472822.4,-3287.4,-235.0,-0.694080742871912,-0.03964938131729765
Cambodia,2000 - 2004,12564578.6,-5051.8,-408.75,-0.04004631795101182,-0.0025360180902121994
Cameroon,2000 - 2004,15932522.6,-17842.2,444.0,-0.11229484022155092,0.006233857087906175
Canada,2000 - 2004,31330278.8,201542.8,-2083.75,0.643778731762648,-0.012977456111987428
Cayman Islands,2000 - 2004,42463.2,1049.4,4.0,2.4755583872586273,-0.0710769478457852
Central African Republic,2000 - 2004,3935314.0,-10707.4,-6149.0,-0.26831625256985747,-0.1540732704079793
Chad,2000 - 2004,8889235.8,47112.6,28556.5,0.5033100543559653,0.29868283815591895
Channel Islands,2000 - 2004,147279.2,682.2,195.5,0.4616958909075802,0.13044385296401806
Chile,2000 - 2004,15689329.0,8223.8,1431.25,0.05223958656420542,0.008543144806110224
China,2000 - 2004,1279874000.0,-499887.6,22821.75,-0.039075437921351895,0.0020416138120627
Colombia,2000 - 2004,40442603.0,-28405.4,1302.25,-0.0703064742487377,0.004285662001327525
Comoros,2000 - 2004,558966.0,-2842.2,-33.0,-0.5083307210313082,0.004892659182225773
"Congo, Dem. Rep.",2000 - 2004,51681258.2,-28268.8,13070.75,-0.054460710252747555,0.026638066324652022
"Congo, Rep.",2000 - 2004,3337390.8,22912.4,-13591.5,0.7044060845495256,-0.45707623244984497
Costa Rica,2000 - 2004,4119289.6,9789.4,-1533.0,0.2390227639370103,-0.04153992962527415
Cote d'Ivoire,2000 - 2004,17678077.8,-88028.2,-11274.0,-0.49537406895021247,-0.051847319698632
Croatia,2000 - 2004,4335623.4,-19049.6,11279.5,-0.43403324138248367,0.25122663130242556
Cuba,2000 - 2004,11167896.0,-20840.4,2852.5,-0.1867330127893858,0.026009088159419998
Curacao,2000 - 2004,131640.2,-186.8,927.75,-0.14004959235985626,0.6925762889768912
Cyprus,2000 - 2004,982859.0,12706.0,387.25,1.2919939304493882,0.01690697198329335
Czechia,2000 - 2004,10211936.6,20702.0,5438.0,0.20290780314391105,0.053387012389723154
Denmark,2000 - 2004,5373885.4,11738.2,-292.5,0.218468280627566,-0.006117026399383694
Djibouti,2000 - 2004,784287.2,1479.8,-2718.5,0.21035927374240787,-0.34986806345191396
Dominica,2000 - 2004,68355.4,-487.6,172.5,-0.7136264476782957,0.25276196196427786
Dominican Republic,2000 - 2004,8793582.2,-30467.4,-119.5,-0.34657768917448933,0.0035940816075919002
Ecuador,2000 - 2004,13075682.8,-29696.4,5244.5,-0.22869532282339072,0.044314843799843275
"Egypt, Arab Rep.",2000 - 2004,74421028.0,28082.0,8529.25,0.037171730292807334,0.0110805378288854
El Salvador,2000 - 2004,6004071.2,-92705.8,2006.5,-1.544279330190911,0.0384596201584121
Equatorial Guinea,2000 - 2004,754879.6,14894.0,-154.75,1.983975801546873,-0.11458830410979501
Eritrea,2000 - 2004,2563752.2,14463.0,6705.0,0.5421605840711659,0.289132575038082
Estonia,2000 - 2004,1379544.0,-3436.8,-134.5,-0.24927503003176432,-0.01133202317674375
Eswatini,2000 - 2004,1049452.4,-7108.0,-241.75,-0.6770192799706305,-0.017313253330595
Ethiopia,2000 - 2004,71118775.6,-24210.4,6116.0,-0.03455765712319958,0.01016545160370615
Faroe Islands,2000 - 2004,46819.8,360.8,14.5,0.7706480648308723,0.021393198344557825
Fiji,2000 - 2004,849744.0,-6357.8,-139.5,-0.7480166660105754,-0.00889293721291165
Finland,2000 - 2004,5201200.2,5396.8,1111.0,0.10368166189695027,0.0211337048557094
France,2000 - 2004,61815656.4,133252.0,13022.5,0.2152795547461847,0.019556131146496524
French Polynesia,2000 - 2004,259083.6,-277.2,99.75,-0.10837043312970858,0.04012127396497063
Gabon,2000 - 2004,1343345.8,4745.8,935.25,0.3501512429932696,0.0598308152774929
"Gambia, The",2000 - 2004,1523538.6,-3793.8,11.0,-0.24950821510299975,0.0076090179427122755
Georgia,2000 - 2004,3989819.0,-73247.4,26108.25,-1.8227346266195776,0.6331994170903628
Germany,2000 - 2004,82420072.8,56575.6,3050.5,0.06864232743532697,0.003628445367786825
Ghana,2000 - 2004,20771072.6,27125.4,9660.5,0.12893421180579206,0.04464612561131242
Gibraltar,2000 - 2004,28074.2,117.4,116.5,0.40952551783779895,0.41019513555127923
Greece,2000 - 2004,10890634.6,16423.0,-9225.0,0.15137107721853205,-0.0853360023809439
Greenland,2000 - 2004,56567.0,-320.0,-21.25,-0.5654785704904803,-0.0358718310934517
Grenada,2000 - 2004,108371.0,-559.4,70.0,-0.5171591403464918,0.0665125218703072
Guam,2000 - 2004,162332.8,-1926.0,-200.5,-1.1853050525565612,-0.11656647607496107
Guatemala,2000 - 2004,12141257.2,-56542.4,4688.5,-0.46774264729245063,0.04926032188728835
Guinea,2000 - 2004,8618753.4,-71884.2,5362.0,-0.8414055036047345,0.07603382161293269
Guinea-Bissau,2000 - 2004,1287313.8,-5910.6,456.75,-0.4611530233626933,0.04611848066958697
Guyana,2000 - 2004,760033.8,-12834.8,129.75,-1.6887375124511574,0.017846400311092952
Haiti,2000 - 2004,8661446.6,-26706.6,169.0,-0.30859139724686646,0.00732265920853745
Honduras,2000 - 2004,7019956.4,-8878.8,920.0,-0.12732436794778906,0.016438328284230676
"Hong Kong SAR, China",2000 - 2004,6727540.0,28710.6,-12654.0,0.42821238896162483,-0.19051945939606446
Hungary,2000 - 2004,10158770.6,11760.4,331.25,0.11580451797380609,0.0036666633485987
Iceland,2000 - 2004,287058.2,554.4,-315.75,0.19572678605818467,-0.11430604435328866
India,2000 - 2004,1098119465.4,-201041.8,-16096.25,-0.01825225016449018,-0.001177976378477175
Indonesia,2000 - 2004,220063733.2,-78269.0,-14993.0,-0.035390002235336185,-0.0063739970395359
"Iran, Islamic Rep.",2000 - 2004,67312544.8,191892.0,-6264.75,0.2855709352548776,-0.01673648763694478
Iraq,2000 - 2004,26247527.0,55725.2,-4419.0,0.21456693060472626,-0.026174662032289492
Ireland,2000 - 2004,3934029.4,37495.4,4574.0,0.951060818586296,0.09901302120731251
Isle of Man,2000 - 2004,77151.8,823.8,-61.75,1.0694577740958253,-0.09129653126900347
