country,years,population,migration_count,migration_count_change,migration_percent,migration_percent_change
Afghanistan,2006 - 2016,29610107.636363637,-36638.90909090909,-31129.363636363636,-0.15053816977550835,-0.11760019121500137
Albania,2006 - 2016,2917910.3636363638,-26456.636363636364,3633.4545454545455,-0.9018326679494568,0.11910612117026836
Algeria,2006 - 2016,36680751.0,-34973.818181818184,6820.818181818182,-0.09556474115338584,0.022525162448261832
American Samoa,2006 - 2016,54032.27272727273,-1578.2727272727273,5.090909090909091,-2.925817906304562,-0.026260852298019503
Andorra,2006 - 2016,73515.36363636363,-1084.8181818181818,-105.81818181818181,-1.4288106588876472,-0.11765649377050945
Angola,2006 - 2016,24421874.0,83437.54545454546,2510.3636363636365,0.34380047016471543,-0.0013467679613513818
Antigua and Barbuda,2006 - 2016,86275.63636363637,225.27272727272728,-16.90909090909091,0.2660968571500991,-0.021386098430905765
Argentina,2006 - 2016,41426277.45454545,-3570.4545454545455,2470.5454545454545,-0.0092852618234969,0.006197481743978173
Armenia,2006 - 2016,2936730.090909091,-29699.727272727272,383.54545454545456,-1.0105993549485819,0.00752474593061259
Aruba,2006 - 2016,100813.36363636363,379.09090909090907,-37.18181818181818,0.382145697245174,-0.04097357930604884
Australia,2006 - 2016,22357763.272727273,220218.27272727274,10006.818181818182,0.9886813367658359,0.03148918006172419
Austria,2006 - 2016,8438139.181818182,45752.27272727273,1454.5454545454545,0.5375709797411763,0.013413036817146179
Azerbaijan,2006 - 2016,9150793.090909092,5541.727272727273,-1359.2727272727273,0.06341303154265444,-0.016422578804732545
"Bahamas, The",2006 - 2016,376174.45454545453,1353.909090909091,18.272727272727273,0.3632341134044733,0.002070772058559489
Bahrain,2006 - 2016,1208780.0,28212.363636363636,-2213.5454545454545,2.458447737080138,-0.35089870738998274
Bangladesh,2006 - 2016,150653790.1818182,-545668.5454545454,60087.0,-0.3715003248607152,0.04306051292812801
Barbados,2006 - 2016,275070.8181818182,-16.727272727272727,9.727272727272727,-0.005971262285160755,0.0036818638107558007
Belarus,2006 - 2016,9492085.545454545,5164.545454545455,2469.090909090909,0.05482471777075104,0.025844462380742242
Belgium,2006 - 2016,10972271.636363637,54372.36363636364,954.6363636363636,0.49522679310705797,0.005402908535077837
Belize,2006 - 2016,328968.54545454547,1914.4545454545455,-101.27272727272727,0.5975499580880741,-0.04596664144254037
Benin,2006 - 2016,9766544.090909092,1093.909090909091,-2424.090909090909,0.008565199927271918,-0.03092493933148864
Bermuda,2006 - 2016,64976.0,-217.72727272727272,7.2727272727272725,-0.33477697899741427,0.011336358251593464
Bhutan,2006 - 2016,712778.3636363636,-1003.1818181818181,-209.0909090909091,-0.14167784711398826,-0.03069854028384137
Bolivia,2006 - 2016,10398943.090909092,-12143.272727272728,416.90909090909093,-0.11774139266010374,0.006080451384458655
Bosnia and Herzegovina,2006 - 2016,3755422.272727273,-52540.36363636364,446.54545454545456,-1.3901331910420014,-0.0016883812327002866
Botswana,2006 - 2016,2135305.909090909,2821.3636363636365,-149.27272727272728,0.13620369858390727,-0.010822483551570155
Brazil,2006 - 2016,198048700.1818182,10223.454545454546,11410.454545454546,0.004720314136960482,0.005718648809168809
British Virgin Islands,2006 - 2016,27576.81818181818,427.1818181818182,-34.81818181818182,1.60063379971182,-0.17051325766852513
Brunei Darussalam,2006 - 2016,400583.36363636365,105.0,-154.72727272727272,0.032263730360518515,-0.04033326249271406
Bulgaria,2006 - 2016,7357095.0,-10562.727272727272,-1010.4545454545455,-0.14477922881061758,-0.01451514329214038
Burkina Faso,2006 - 2016,16686749.818181818,-26238.909090909092,-1581.5454545454545,-0.16038119185927208,-0.010002319278708182
Burundi,2006 - 2016,9385732.363636363,-3547.181818181818,-11582.09090909091,0.03740682152195256,-0.11332917930605282
Cabo Verde,2006 - 2016,528069.4545454546,-2264.2727272727275,205.9090909090909,-0.43466517773422697,0.044830931994052185
Cambodia,2006 - 2016,14569896.545454545,-38338.36363636364,-2649.2727272727275,-0.2602465792473583,-0.015761415054084783
Cameroon,2006 - 2016,20555987.09090909,5012.545454545455,3730.2727272727275,0.01500270852872298,0.019700397669792244
Canada,2006 - 2016,34338857.72727273,235032.45454545456,10525.818181818182,0.6836422288824339,0.022970826767708317
Cayman Islands,2006 - 2016,55355.63636363636,964.2727272727273,8.363636363636363,1.7498330713189452,-0.034364311776894994
Central African Republic,2006 - 2016,4653796.454545454,-70404.72727272728,-3559.0,-1.4918454283201954,-0.06840301116064706
Chad,2006 - 2016,12390659.181818182,13801.181818181818,205.9090909090909,0.11549058623383036,-0.004096643764330771
Channel Islands,2006 - 2016,157763.27272727274,778.1818181818181,33.0,0.4916970484896856,0.01625710716930606
Chile,2006 - 2016,17181414.90909091,40091.63636363636,10199.0,0.22926292810846718,0.05554794622262487
China,2006 - 2016,1347681818.1818182,-260396.45454545456,33336.181818181816,-0.019482494110204956,0.0026216571576626086
Colombia,2006 - 2016,45252518.72727273,-38956.72727272727,11029.636363636364,-0.08731507388237586,0.02416926261208679
Comoros,2006 - 2016,672238.2727272727,-2045.3636363636363,143.72727272727272,-0.3105600091658072,0.027835666737003998
"Congo, Dem. Rep.",2006 - 2016,69165263.0909091,35966.454545454544,13876.636363636364,0.047153864137644615,0.016039991182248456
"Congo, Rep.",2006 - 2016,4534179.818181818,6021.636363636364,-4829.545454545455,0.1836122870861475,-0.12080949886531028
Costa Rica,2006 - 2016,4672570.909090909,4833.636363636364,-261.09090909090907,0.10434420410183604,-0.007161956879288765
Cote d'Ivoire,2006 - 2016,21645711.09090909,-107057.63636363637,8847.272727272728,-0.5084887860906436,0.048728544112088046
Croatia,2006 - 2016,4268354.545454546,-7925.363636363636,-885.0,-0.18669127174723565,-0.02146397724091846
Cuba,2006 - 2016,11302203.545454545,-19230.090909090908,-225.54545454545453,-0.1701826160534992,-0.0019067513922135647
Curacao,2006 - 2016,150636.81818181818,1328.1818181818182,-73.9090909090909,0.889715388614059,-0.059579407461621825
Cyprus,2006 - 2016,1135738.8181818181,8367.545454545454,-759.9090909090909,0.7501535277737049,-0.07901592675810222
Czechia,2006 - 2016,10454505.909090908,16745.090909090908,-2290.4545454545455,0.16098352115501108,-0.022421795373155338
Denmark,2006 - 2016,5572286.636363637,17984.363636363636,1015.0909090909091,0.32181887866510234,0.01666485504609002
Djibouti,2006 - 2016,936072.6363636364,2045.090909090909,491.09090909090907,0.22030523788009962,0.05576726796336511
Dominica,2006 - 2016,69067.54545454546,-54.18181818181818,44.81818181818182,-0.0799678523740354,0.06478848382516034
Dominican Republic,2006 - 2016,9903667.909090908,-30557.0,63.81818181818182,-0.3091128207476103,0.004571864451672364
Ecuador,2006 - 2016,15229829.545454545,-2350.090909090909,3989.0,-0.018574916363210528,0.026067399036359074
"Egypt, Arab Rep.",2006 - 2016,89669559.81818181,6240.090909090909,2025.090909090909,0.0056916485464233064,0.0024623780302122644
El Salvador,2006 - 2016,6138842.7272727275,-55868.454545454544,3958.4545454545455,-0.9116388198757375,0.0679946243650166
Equatorial Guinea,2006 - 2016,1146423.7272727273,18631.090909090908,141.8181818181818,1.6617022357371503,-0.052284823791589156
Eritrea,2006 - 2016,3166264.1818181816,-34801.63636363636,-3880.818181818182,-1.0810207176718187,-0.10878309939503059
Estonia,2006 - 2016,1327676.7272727273,-1931.909090909091,582.3636363636364,-0.144481676298488,0.04321742574902526
