country,years,population,migration_count,migration_count_change,migration_percent,migration_percent_change
Afghanistan,2005 - 2009,25913988.4,-93179.8,37947.0,-0.3478668215380638,0.16810513012340927
Albania,2005 - 2009,2969776.8,-42780.0,4053.4,-1.4386326462772099,0.12625562448979744
Algeria,2005 - 2009,34028245.2,-49770.2,952.8,-0.14778489761267197,0.004520224837122538
American Samoa,2005 - 2009,56346.2,-1617.8,34.8,-2.870342590037749,0.038756452474141716
Andorra,2005 - 2009,77624.4,-1532.2,-1084.4,-2.015812981774425,-1.4385822303991842
Angola,2005 - 2009,20944435.8,71837.6,2136.0,0.34284929480286797,-0.0022874861535808
Antigua and Barbuda,2005 - 2009,82113.0,319.0,47.4,0.3875437414369195,0.05437909277331918
Argentina,2005 - 2009,39876314.0,-16057.8,2893.4,-0.04045751578891864,0.007684148209022179
Armenia,2005 - 2009,3005168.4,-31535.4,-275.4,-1.049588205580816,-0.0161276067585239
Aruba,2005 - 2009,96816.8,627.6,77.6,0.6475555787359235,0.07436586187547868
Australia,2005 - 2009,20879256.8,217975.2,25331.0,1.039729214475324,0.10789083457243935
Austria,2005 - 2009,8291355.2,28410.2,-7557.2,0.3432448127199092,-0.09333772278993281
Azerbaijan,2005 - 2009,8633668.6,13278.8,-2519.6,0.15524168271495428,-0.03048633233382548
"Bahamas, The",2005 - 2009,357797.2,1471.6,117.2,0.4103718346593972,0.027765801625852876
Bahrain,2005 - 2009,1040646.0,53450.0,-275.0,5.1856264854150576,-0.3993994062236519
Bangladesh,2005 - 2009,143961096.6,-983536.8,-41122.6,-0.6828142647050596,-0.02386864200749449
Barbados,2005 - 2009,271554.4,11.6,46.8,0.0039938717742993785,0.01732198638324572
Belarus,2005 - 2009,9572472.0,-5728.8,3021.8,-0.05955312850544344,0.03116171857202892
Belgium,2005 - 2009,10631748.2,50076.0,1878.2,0.47080820502587517,0.014460978205671859
Belize,2005 - 2009,297223.8,2619.6,72.8,0.8814202171353047,0.0002560162603325408
