country,years,population,migration_count,migration_count_change,migration_percent,migration_percent_change
Afghanistan,2000 - 2019,28332631.35,722.45,52581.73684210526,-0.002756507194694791,0.2701072328325382
Albania,2000 - 2019,2948464.5,-33343.85,2880.0526315789475,-1.1154800844870278,0.09198882701864829
Algeria,2000 - 2019,36019012.15,-38201.35,-915.3684210526316,-0.10747687017057495,-0.00123593241073664
American Samoa,2000 - 2019,54355.75,-1580.2,-25.894736842105264,-2.923360150792081,-0.07885044186020566
Andorra,2000 - 2019,73464.7,241.75,57.473684210526315,0.3504347170963418,0.07372322202606274
Angola,2000 - 2019,23483728.85,73859.35,287.3157894736842,0.3219198088833148,-0.007588718182092073
Antigua and Barbuda,2000 - 2019,84462.2,164.6,-14.263157894736842,0.19908796695544567,-0.019003607880536722
Argentina,2000 - 2019,40881041.65,-8002.8,1434.1052631578948,-0.021243468906884548,0.003757249075400689
Armenia,2000 - 2019,2970844.95,-31371.75,1395.2631578947369,-1.0515165468208103,0.038838411890733275
Aruba,2000 - 2019,98954.35,426.5,-43.31578947368421,0.4413869137257902,-0.05257906527582976
Australia,2000 - 2019,21923273.7,189992.65,6657.105263157895,0.8566553160998168,0.018736148622321046
Austria,2000 - 2019,8399728.6,43434.1,1240.7368421052631,0.5144263887051139,0.012846167108496129
Azerbaijan,2000 - 2019,8987050.55,7722.65,-818.2105263157895,0.09150710963952176,-0.010216395375180787
"Bahamas, The",2000 - 2019,368071.35,1122.4,8.31578947368421,0.3046244437136044,-0.0006285421918709237
Bahrain,2000 - 2019,1121929.65,23490.4,-1231.1052631578948,2.291086092010798,-0.10666876902393228
Bangladesh,2000 - 2019,147969749.7,-492727.35,4245.473684210527,-0.340740925214935,0.006362044363610272
Barbados,2000 - 2019,273340.2,-95.6,40.421052631578945,-0.035581300723408774,0.015344612649372445
Belarus,2000 - 2019,9584749.5,1443.7,1342.157894736842,0.016899743800268777,0.013921744621890863
Belgium,2000 - 2019,10856633.6,50107.45,1164.8947368421052,0.45980782906436896,0.00835478169732429
Belize,2000 - 2019,316275.1,1856.15,-27.05263157894737,0.6146772265249687,-0.020991061789368146
Benin,2000 - 2019,9430245.95,3602.9,1.368421052631579,0.04060592854559606,-0.0010695881234802247
Bermuda,2000 - 2019,64245.3,-115.6,18.789473684210527,-0.17832888220906415,0.029584862301229056
Bhutan,2000 - 2019,694183.4,1068.75,-304.10526315789474,0.18214026679254125,-0.05240102055538071
Bolivia,2000 - 2019,10154924.75,-12868.05,457.7368421052632,-0.13029389847769235,0.006814085048259074
Bosnia and Herzegovina,2000 - 2019,3825205.9,-39713.2,-1894.157894736842,-1.0489363583837705,-0.053864486048626946
Botswana,2000 - 2019,2085205.8,3809.35,-265.10526315789474,0.19277143419513745,-0.018113891697871552
Brazil,2000 - 2019,194885053.65,12421.3,3734.0526315789475,0.00565310032955691,0.0017720868372959422
British Virgin Islands,2000 - 2019,26229.65,432.5,-3.8421052631578947,1.7355161115579243,-0.04184424044881506
Brunei Darussalam,2000 - 2019,390618.75,394.65,-118.26315789473684,0.11942154962385416,-0.03321682668640313
Bulgaria,2000 - 2019,7458621.2,-9593.55,-7.578947368421052,-0.13034671532021916,-0.001354490808502479
Burkina Faso,2000 - 2019,16092604.2,-13967.05,-1534.578947368421,-0.07554865054732517,-0.008068236552413949
Burundi,2000 - 2019,8927975.05,1480.55,2860.7894736842104,0.06069850722360881,0.03978330859301025
Cabo Verde,2000 - 2019,518944.45,-2449.5,75.05263157894737,-0.48464466843364223,0.01944206516986584
Cambodia,2000 - 2019,14220100.55,-30571.4,-2703.1052631578946,-0.20518428943059125,-0.016212430635728716
Cameroon,2000 - 2019,19915295.55,-6060.2,471.94736842105266,-0.0398416655372094,0.004899265636507816
Canada,2000 - 2019,33891706.6,248447.15,10015.631578947368,0.7266186836977787,0.020276424618965137
Cayman Islands,2000 - 2019,53127.7,998.6,-2.473684210526316,1.9284575421138634,-0.05793343099207956
Central African Republic,2000 - 2019,4518900.5,-49517.85,-2369.684210526316,-1.0500865958070817,-0.048639251634760544
Chad,2000 - 2019,11878270.1,23038.4,-296.3157894736842,0.21660616306631195,-0.0006438858952931076
Channel Islands,2000 - 2019,156221.95,906.8,79.26315789473684,0.5727587785340983,0.04647855049359578
Chile,2000 - 2019,16986351.6,58934.0,11809.052631578947,0.325930454435869,0.0616395411537643
China,2000 - 2019,1336715500.0,-333171.3,13009.631578947368,-0.025256559013103457,0.0011603616130557472
Colombia,2000 - 2019,44501384.95,34694.3,22469.42105263158,0.06207640852160092,0.0456840505480328
Comoros,2000 - 2019,655554.85,-2409.25,2.8421052631578947,-0.37723298039762637,0.009722529140513077
"Congo, Dem. Rep.",2000 - 2019,66852597.5,492.9,-5099.368421052632,-0.0008130542166689958,-0.003283929192111421
"Congo, Rep.",2000 - 2019,4327995.3,9620.2,-4529.0,0.30458793282856417,-0.1399039308571527
Costa Rica,2000 - 2019,4571486.15,6084.35,-496.63157894736844,0.1377302519785548,-0.013675145668806028
Cote d'Ivoire,2000 - 2019,21097649.05,-89335.55,2545.1052631578946,-0.4445872199451541,0.01688801282619846
Croatia,2000 - 2019,4260889.45,-11278.3,2016.3684210526317,-0.26364790225799734,0.043668621608766625
Cuba,2000 - 2019,11269558.95,-18505.45,592.421052631579,-0.16432403134769574,0.0054552203359407
Curacao,2000 - 2019,146490.8,1583.5,-366.3157894736842,1.0224908867957416,-0.21716882103862345
Cyprus,2000 - 2019,1105033.7,9187.45,-348.89473684210526,0.8606969450162637,-0.04306525437321563
